titre,entreprise,lieu,pays,salaire_min,salaire_max,salaire_devise,remote,contrat,description,lien,date_offre,date_scraping,source
Data Analyst Industriel,GROUPE PIMENT,Colombes,FR,,,EUR,False,,"Présentation de la société
Le Groupe PIMENT et ses marques spécialisées, PIMENT, au savoir-faire reconnu dans l’aéronautique et OPTIMA, cabinet de recrutement multi-sectoriel, vous accompagnent tout au long de votre évolution professionnelle, en vous proposant des contrats en intérim, CDD, CDI et freelance dans de nombreux secteurs d’activité.

Nous apportons une vision et des méthodes de recrutement centrées sur les qualités humaines.

Pour cela, nous proposons à nos clients des solutions de re",https://www.aerocontact.com/emploi-aeronautique/data-analyst-industriel-hf~1111384.html,2026-04-20,2026-04-24,jsearch
Offre n° 1682610 Data Analyst Expérimenté (F/H),France Travail,FR,FR,,,EUR,False,À plein temps,"Le poste en quelques mots : Dans notre entité Technology Services, nous proposons à nos clients de l’accompagnement local, de bout en bout, sur des sujets d’expertise et de conseil. Nous intervenons sur tous les types de projets et majoritairement dans des contextes Agile. Nous renforçons notre communauté Agile avec un/une Data Analyst expérimenté (F/H) qui interviendra sur un projet chez l'un de nos clients sur le secteur de Nantes.

Ce que vous allez faire si vous nous rejoignez : Intégré(e) à",https://bebee.com/fr/jobs/offre-n-1682610-data-analyst-experimente-france-travail--techmap_fr_1682610,2026-04-21,2026-04-24,jsearch
Data Analyst,Haddad Brands Europe,Saint-Denis,FR,,,EUR,False,Prestataire,"Haddad Brands Europe, fondée en 2017, est spécialisée dans la distribution de textile pour enfants sous licences exclusives (Nike, Levi’s, Converse, Jordan, Lacoste…) à travers toute l’Europe.
Opérationnelle depuis 8 ans, la société connaît une croissance fulgurante et compte déjà plus de 500 collaborateurs répartis dans toute l'Europe.
Nous distribuons nos produits aussi bien en wholesale, auprès de grands faiseurs spécialisés ou multimarques, qu’en Retail, via nos corners dans les grands magas",https://talents.haddadeurope.com/jobs/7615338-data-analyst,2026-04-22,2026-04-24,jsearch
Consultant(e) Senior Data Analyst – Luxe & Retail (GCP / BigQuery) F/H,APEC - Offres Gratuites,Neuilly-sur-Seine,FR,,,EUR,False,À plein temps,"Description du poste
LE POSTE

Au sein de Square Management, vous intégrez le domaine d'excellence Data & IA en tant que Data Analyst pour intervenir dans les secteurs du Luxe et du Retail où l'expérience client et l'imagine de marque sont reines.

VOTRE MISSION

1. Stratégie & Product Ownership Data Viz

•
Animer des ateliers avec les métiers et les marchés pour traduire leurs problématiques business en KPIs pertinents

•
Concevoir des maquettes (wireframes) de dashboards centrés sur l'expérien",https://www.meteojob.com/jobs/53526670,2026-04-22,2026-04-24,jsearch
Data analyst (F/H),ELKEM SILICONES FRANCE SAS,Saint-Fons,FR,,,EUR,False,À plein temps,Le Data Analyst ou analyste de données transforme les données en informations statistiques et techniques. Collecte les données analytiques pour en extraire des tendances et des prévisions pour résoudre des problèmes Collabore avec les équipes techniques et métiers pour comprendre les besoins en données Présente les résultats des analyses sous forme de rapports ou de visualisations compréhensibles Assure la qualité et l'intégrité des données utilisées dans les analyses par une veille technologiqu,https://labonnealternance.apprentissage.beta.gouv.fr/emploi/offres_emploi_lba/69e77f1bbea46e642db33587/data-analyst-f-h,2026-04-21,2026-04-24,jsearch
Data Analyst F/H,ecosystem,Courbevoie,FR,,,EUR,False,À plein temps,"Au sein de la Direction de la Transformation Digitale, vos principales missions seront les suivantes :
• Analyse et Modélisation des Données :
• Collecter, traiter et analyser des ensembles de données complexes provenant de diverses sources (bases de données, API, fichiers logs, etc.).

• Développer et optimiser des modèles statistiques et des algorithmes d’apprentissage automatique (machine learning) pour prédire des tendances et optimiser les processus opérationnels (contrôle de cohérence, dét",https://www.welcometothejungle.com/fr/companies/ecosystem/jobs/data-analyst-f-h_courbevoie,2026-04-15,2026-04-24,jsearch
Stage Juin 2026  - Data Analyst Junior (F/H),AXA,Suresnes,FR,,,EUR,False,Stage,"Leader français de l’assurance auto en ligne depuis 1992, Direct Assurance, entité du Groupe AXA, propose également des offres d’assurance habitation, moto et santé.
Aujourd'hui, plus de deux millions de clients nous font confiance grâce à un tarif adapté et une gestion des sinistres personnalisée.

Dans un marché assurantiel très compétitif, Direct Assurance conçoit des solutions adaptées aux besoins de ses clients en défendant leur pouvoir d’achat.
Nous faisons de l'expérience client une prior",https://careers.axa.com/careers-home/jobs/19687?lang=fr-fr,2026-04-20,2026-04-24,jsearch
Data Analyst senior Digital product F/H,AIR FRANCE,FR,FR,,,EUR,False,À plein temps,"Description du poste

Description du poste

Intitulé du poste

Data Analyst senior Digital product F/H

Métier

Digital - e-Marketing

Catégorie socio-professionnelle

Cadre

Présentation du contexte

L'entité digital performance, au sein de la direction centrale du Digital Product Management, est en charge de piloter la performance opérationnelle et commerciale de nos sites internet et de nos Applications Mobile.

Pour la partie commerciale, le service Performance Insights & Analytics (PIA) fou",https://www.meteojob.com/jobs/53485111,2026-04-21,2026-04-24,jsearch
Stage - ESG  Reporting & Data Analyst H/F,BNP Paribas Asset Management,Puteaux,FR,,,EUR,False,Stage,"BNP Paribas Asset Management (BNPP AM) est la division de gestion d’actifs du groupe BNP Paribas. Depuis le 1er juillet 2025, les activités d’AXA Investment Managers (AXA IM) ont été intégralement rattachées à BNPP AM, créant ainsi une plateforme mondiale unifiée et renforcée.
BNPP AM est un leader mondial de la gestion d’actifs, bénéficiant de la taille, de la stabilité et de l’expertise du Groupe. Nous accompagnons une clientèle diversifiée, incluant des investisseurs institutionnels, des entr",https://group.bnpparibas/emploi-carriere/offre-emploi/stage-reporting-data-analyst-h-f,2026-04-17,2026-04-24,jsearch
Data Analyst en Alternance H/F,KEREIS FRANCE,Saint-Herblain,FR,,,EUR,False,À plein temps et Stage,"Les missions du poste

Chez Kereis, nous avons pris le parti de tout vous dévoiler pour vous aider à vous projeter dans votre futur univers de travail.

Vous évoluez au sein de l'équipe Business Intelligence (BI) dans le département Solutions Data de notre Direction des Systèmes d'Information. Cette équipe est chargée de la mise en oeuvre et du maintien en condition opérationnelle des solutions de production et d'exposition des données au sein du groupe Kereis. Vous contribuez à organiser, synth",https://www.hellowork.com/fr-fr/emplois/78164689.html,2026-04-20,2026-04-24,jsearch
Senior Data Analyst,eXalt,Lille,FR,,,EUR,False,À plein temps,"Descriptif du poste

Notre entreprise accompagne plusieurs clients sur des sujets de transformation data, BI et gouvernance. Nous recherchons un(e) Senior Data Analyst pour intervenir sur la refonte d’un dispositif de pilotage d’initiatives IA, dans un environnement international.

Vous serez chargé(e) d’analyser les données existantes, de recueillir les besoins des parties prenantes et de contribuer à la mise en place d’un nouveau workflow intégré, avec un outil de gouvernance et une couche BI
",https://fr.trabajo.org/offre-4112-c26ee97906dfe48875a7b0b4487c0ea5,2026-04-22,2026-04-24,jsearch
Consultant.e Data Analyst CRM & Insights,Elevate,Paris,FR,,,EUR,False,À plein temps,"Dans le cadre du développement du cabinet, nous recherchons un.e Data Analyst Senior spécialisé.e CRM afin de rejoindre la practice Data & Tech !
Vous interviendrez directement au cœur des équipes CRM / Media de nos client pour transformer la donnée en insights activables.
Parmi vos missions 🛠
Exploration & Data Mining
• Requêter directement dans les bases de données (SQL avancé impératif) pour extraire, nettoyer et structurer les données nécessaires aux analyses.

• Réconcilier des données hété",https://www.welcometothejungle.com/fr/companies/elevate/jobs/consultant-e-data-analyst-crm-insights_paris,2026-03-27,2026-04-24,jsearch
Data Analyst Pricing F/H,Itesa,FR,FR,,,EUR,False,Stage,"À propos de nous

Fort d’un effectif de 150 collaborateurs répartis dans 15 établissements à travers la France, le Groupe ITESA-VEDITEC s’impose comme un acteur majeur dans le domaine de la sécurité électronique.
Son expertise se concentre principalement sur les segments de l’alarme et de la vidéosurveillance.
Cette spécialisation témoigne de la capacité du groupe à répondre aux enjeux croissants de protection des biens et des personnes, tout en maintenant une proximité terrain grâce à son maill",https://bebee.com/fr/jobs/data-analyst-pricing-itesa-marseille-16e-13--theirstack-668419102,2026-04-22,2026-04-24,jsearch
Ingénieur Data Analyst - Data Analysis & Validation (H/F),TREFLE ITA,Toulouse,FR,,,EUR,False,À plein temps,"Trèfle ITA est aujourd'hui un acteur majeur dans le domaine du BTP, des télécommunications, de l'eau, de la VRD, de l'informatique et de l'aéronautique. Depuis plus de 20 ans, notre expertise est reconnue par une clientèle Grands Comptes, qui s'appuie sur nos compétences techniques et notre réactivité et que nous accompagnons sur le long terme. Nous sommes présents sur les métiers suivants : - Télécom - Mécanicien - Electricité - Plasturgie - Automatisme - Electronique - Informatique industriell",https://candidat.francetravail.fr/offres/recherche/detail/206GRNF,2026-04-21,2026-04-24,jsearch
HAVAS MEDIA FRANCE - CDI - DATA ANALYST - CHARGÉ DE DATA OPERATIONS & REPORTING MARKETING   - H/F,Havas France,Puteaux,FR,,,EUR,False,À plein temps,"Au sein de l’équipe Data de Havas Media, vous contribuez au bon fonctionnement d’un ensemble de solutions internes de pilotage marketing et de reporting utilisées par les équipes opérationnelles. Vous serez garant·e du bon fonctionnement au quotidien et aurez en charge la maintenance, l’évolution et le déploiement des outils et dashboards pour les collaborateurs et les clients.
Vous devrez comprendre les besoins métiers, répondre aux demandes des utilisateurs pour utiliser au mieux les outils et",https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-france-cdi-data-analyst-charge-de-data-operations-reporting-marketing-h-f_puteaux,2026-03-31,2026-04-24,jsearch
Data Analyst – Contrats de Service F/H,Safran Aircraft Engines,Montereau-sur-le-Jard,FR,,,EUR,False,À plein temps,"Dans le cadre des contrats de service MCR (Maintenance Cost Reconciliation) et du suivi des poussées moteurs, nous recherchons un Data Analyst.

La première mission du Data Analyst tournera autour de la donnée (collecte, compilation, nettoyage et identification d'incohérence des données) de nouveaux contrats de service tout juste déployés auprès de nos grands clients.

Ceci permettra de mener l'analyse économiques des contrats de services MCR (Maintenance Cost Reconciliation). Pour ce faire, il ",https://www.safran-group.com/fr/offres/france/montereau-jard/data-analyst-contrats-service-fh-169847,2026-04-21,2026-04-24,jsearch
Data Analyst H/F,ECOUTER VOIR,Paris,FR,,,EUR,False,À plein temps,"Visaudio recherche pour sa Direction Analyse et Data, un Data Analyst (h/f) en CDI à temps plein sur son site de Paris (15ème). Vous aimez comprendre, analyser et tirer des enseignements concrets à partir des chiffres ? Mettez vos connaissances au profit d'une enseigne engagée en optique et en audition ! Rattaché(e) au Directeur Analyse et Data, vous serez en charge de l'exploitation et de l'analyse des données issues du réseau Ecouter Voir, optique et audition mutualiste, afin d'en dégager des ",https://candidat.francetravail.fr/offres/recherche/detail/206XPWH,2026-04-20,2026-04-24,jsearch
Offre n° 1699274 DATA ANALYST H/F,Keepcool,Ventabren,FR,,,EUR,False,À plein temps,"Le sport et le bien-être sont aujourd'hui l'un des domaines d'activité phare du groupe ICM. Considérant la pratique sportive comme un levier essentiel de santé et de qualité de vie, le groupe s'engage pleinement dans leur développement. Afin de renforcer sa présence sur le marché du fitness, le groupe a acquis en 2022 Neoness, leader des salles de sport en région parisienne. À travers sa branche ICM Wellness, le groupe exploite désormais deux réseaux complémentaires de clubs de sport - Keepcool ",https://bebee.com/fr/jobs/offre-n-1699274-data-analyst-keepcool-ventabren--techmap_fr_1699274,2026-04-21,2026-04-24,jsearch
Alternant Data Analyst (H/F),Carrier,Montluel,FR,,,EUR,False,À temps partiel,"Carrier recrute des Alternants !

Chez Carrier, vous travaillerez dans un endroit où vous serez en contact avec des gens extraordinaires, où vous sentirez que vos compétences et vos points de vue seront vraiment appréciés. Nous offrons des opportunités de développement et de progression, et des expériences pratiques sur des projets stimulants.

Lancez votre carrière chez le premier fournisseur mondial de solutions de chauffage, ventilation, climatisation et réfrigération (CVC).

Alternant Data A",https://jobs.carrier.com/fr/emploi/montluel/alternant-data-analyst-h-f/29289/92345206304,2026-04-01,2026-04-24,jsearch
DATA ANALYST,EXPECTRA,Blagnac,FR,,,EUR,False,,"Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.

Les consultants du Département Aéronautique vous proposent des opportunités de carrière.Nous recherchons pour le compte de notre client AIRBUS, UN/UNE SUPPORT PROJET DE DIGITALISATION.Rejoignez l'équipe SRB Cross-Programme et Performance en tant que Catalyseur IA et Analyste Avancé(e). Dans ce rôle, vous serez le moteur de l'adoption de l'IA générative (Gemini) et des solutions Low-Code ",https://www.aerocontact.com/emploi-aeronautique/data-analyst-fh~1098580.html,2026-03-26,2026-04-24,jsearch
DATA ANALYST EN STAGE H/F,Maison de l'Emploi et de la Formation des Pays Voironnais et Sud Grésivaudan,Voiron,FR,,,EUR,False,À plein temps,"Description

Leader européen dans la conception et la fabrication de pièces plastiques, le Groupe Plastivaloire est à la fois un équipementier automobile de rang 1 et 2 (cockpit, décorations et mécanismes, poignées de portes, éclairage et signalisation, etc.) mais aussi un acteur majeur de l’industrie grand public (multimédia, électroménager, électricité & sécurité).

Plastivaloire est en mesure de proposer à ses clients des solutions innovantes pour des pièces injectées de haute technicité, mon",https://fr.linkedin.com/jobs/view/data-analyst-en-stage-h-f-at-maison-de-l-emploi-et-de-la-formation-des-pays-voironnais-et-sud-gr%C3%A9sivaudan-4404822031,2026-04-21,2026-04-24,jsearch
Data analyst (H/F),DAVIDSON PACA,Valbonne,FR,,,EUR,False,À plein temps,"Rejoindre Davidson, ce n'est pas seulement intégrer un groupe de 3000 consultants dans 6 pays et 2 continents, c'est intégrer LA société qui a été élue par ses salariés Great Place To Work France et Europe pendant 4 ans mais aussi une des plus grandes B Corp de France, nommée Best of the World dans la catégorie ""collaborateurs"" en 2022 ! (Les ""B Corp"" formant une communauté de sociétés qui ont décidé d'être non pas les meilleures du monde mais les meilleures POUR le monde). Parce que notre dével",https://candidat.francetravail.fr/offres/recherche/detail/204RWGL,2026-04-16,2026-04-24,jsearch
Offre n° 1698539 Apprenti data analyst f/h,France Travail,Roissy-en-France,FR,,,EUR,False,,"Accompagné(e) par votre maître d'apprentissage, vous interviendrez sur l'ensemble de la chaîne de valeur data, avec une forte dimension d'analyse et de compréhension métier.

• Recueil des besoins & cadrage fonctionnel (~20%) • Comprendre les enjeux métiers (prévisions, dimensionnement, planification, régulation?)
• Être en interface avec les équipes opérationnelles pour challenger et affiner les besoins
• Définir et formaliser des indicateurs de performance pertinents (KPI)
• Restituer les anal",https://bebee.com/fr/jobs/offre-n-1698539-apprenti-data-analyst-france-travail-roissy-en-france--techmap_fr_1698539,2026-04-21,2026-04-24,jsearch
Data Analyst / Business Analyst Junior (Dataiku & Agile) (H/F),France Travail,Épinay-sur-Seine,FR,,,EUR,False,À plein temps,"Dans le cadre du développement de nos activités data, nous recherchons un(e) Data Analyst / Business Analyst Junior capable d'intervenir sur l'analyse de données, le suivi de projets et l'amélioration des processus.

Le poste s'inscrit dans un environnement Agile et nécessite une capacité à structurer les besoins, analyser les données et produire des indicateurs d'aide à la décision.",https://candidat.francetravail.fr/offres/recherche/detail/206PMSP,2026-04-10,2026-04-24,jsearch
Data Engineer / Data Analyst IA,Constencia,FR,FR,,,EUR,False,À plein temps,"Qui sommes-nous ?

Constencia est une jeune entreprise dynamique implantée à Sophia Antipolis, première technopole d’Europe.

Nous accompagnons nos partenaires grands groupes établis sur tout le territoire français dans leurs projets d’innovation et de transformation numérique à forte valeur ajoutée.

Nos ingénieurs et experts interviennent sur des sujets stratégiques mêlant ingéniosité, intelligence artificielle, data, cloud, cybersécurité, développement logiciel et systèmes critiques, au sein ",https://bebee.com/fr/jobs/data-engineer-data-analyst-ia-constencia-greater-nice-metropolitan-area--theirstack-667266782,2026-04-21,2026-04-24,jsearch
CDI - DATA ANALYST - Chargé de Data Operations & Reporting Marketing   - H/F,Havas Media France,FR,FR,,,EUR,False,À plein temps,"Au sein de l’équipe Data de Havas Media, vous contribuez au bon fonctionnement d’un ensemble de solutions internes de pilotage marketing et de reporting utilisées par les équipes opérationnelles. Vous serez garant·e du bon fonctionnement au quotidien et aurez en charge la maintenance, l’évolution et le déploiement des outils et dashboards pour les collaborateurs et les clients.

Vous devrez comprendre les besoins métiers, répondre aux demandes des utilisateurs pour utiliser au mieux les outils e",https://fr.linkedin.com/jobs/view/cdi-data-analyst-charg%C3%A9-de-data-operations-reporting-marketing-h-f-at-havas-media-france-4385279254,2026-04-07,2026-04-24,jsearch
Data Analyst Expérimenté - Keyrus France H/F,Keyrus france,Aix-en-Provence,FR,,,EUR,False,À plein temps,"Détail du poste
Qui sommes-nous ? Une success story dans la Data et le Digital !

Notre mission ? Des projets à forte valeur ajoutée pour accroître la performance et la compétitivité des entreprises, faciliter et accélérer leur transformation.
Notre expertise depuis plus de 20 ans ? Le conseil et l'intégration de solutions innovantes autour de trois domaines :

- Data Intelligence

Business Intelligence, Big Data & Analytics, Intelligence Artificielle

- Digital Experience

Conseil, Stratégie & ",https://www.hellowork.com/fr-fr/emplois/66769865.html,2026-04-19,2026-04-24,jsearch
Growth Data Analyst - Intern M - F - N H/F,HelloFresh,FR,FR,,,EUR,False,À plein temps et Stage,"Les missions du poste
Rejoins une superstar de la foodtech française

HelloFresh est présent dans plus de 15 pays. La France, un jeune marché lancé en 2019, connaît une ascension fulgurante : nous y sommes déjà leaders depuis 2021. Le moment parfait pour rejoindre notre équipe et avoir un impact fort dans l'une des scales up françaises les plus prometteuses !

Début début 2023, nous avons ouvert un nouveau site de production, et nous sommes en train de constituer l'équipe, si tu souhaites prendr",https://www.hellowork.com/fr-fr/emplois/62401451.html,2026-04-06,2026-04-24,jsearch
SENIOR DATA ANALYST H/F/NB (H/F),NRJ GROUP,Paris,FR,,,EUR,False,À plein temps,"Date de démarrage souhaitée : dès que possible Type de contrat : CDI Statut : Cadre Au sein de la Direction Marketing Digital & Data de e-NRJ, vous rejoignez une équipe au cœur de la transformation digitale du Groupe NRJ. Notre mission : accompagner les antennes et les marques du Groupe (NRJ, Chérie FM, Nostalgie, Rire & Chansons) sur l'ensemble de leurs propriétés digitales (sites, apps, CRM, campagnes d'acquisition, audio digital), afin de développer les audiences, les écoutes, l'engagement et",https://candidat.francetravail.fr/offres/recherche/detail/206DSLB,2026-03-31,2026-04-24,jsearch
Offre n° 1666352 DATA ANALYST – TEMPS PLEIN H/F,France Travail,,,,,EUR,False,Stage,"Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l’ERP de l’entreprise Saisir et mettre à jour des données : produits (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l’ensemble des contraintes détectées et des actions correctives mise en place pour réunir l’ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer et",https://bebee.com/fr/jobs/offre-n-1666352-data-analyst-temps-plein-france-travail-sezanne--techmap_fr_1666352,2026-04-21,2026-04-24,jsearch
Consultant junior Data Analyst – Spécialiste data quality et data Gouvernance (F/H),Deloitte,Paris,FR,,,EUR,False,À plein temps,"Quel sera votre rôle dans la #TeamDeloitte ?
vous interviendrez auprès de nos clients sur les missions suivantes :
• Contribuer à la mise en place de stratégie et de politiques de gouvernance des données, y compris l'établissement de normes, de processus et de « Target Operating Models » alignés sur les meilleures pratiques du marché ;

• Examiner et comprendre les réglementations et exigences spécifiques liées au secteur banque et assurance (Solvabilité 2 et BCBS 239 par exemple) ;

• Assister ",https://www.welcometothejungle.com/fr/companies/deloitte/jobs/consultant-junior-data-analyst-specialiste-data-quality-et-data-gouvernance-f-h_paris-la-defense_DELOI_ogmQyLL,2026-04-03,2026-04-24,jsearch
"ALTERNANCE - Data analyst, digitalisation du SI - F/H",Thales,Saint-Jean-de-Moirans,FR,,,EUR,False,À plein temps,"Lieu : Moirans, France

Construisons ensemble un avenir de confiance

Thales est un leader mondial des hautes technologies spécialisé dans trois secteurs d’activité : Défense & Sécurité, Aéronautique & Spatial, et Cyber & Digital. Il développe des produits et solutions qui contribuent à un monde plus sûr, plus respectueux de l’environnement et plus inclusif. Le Groupe investit près de 4 milliards d’euros par an en Recherche & Développement, notamment dans des domaines clés de l’innovation tels q",https://fr.linkedin.com/jobs/view/alternance-data-analyst-digitalisation-du-si-f-h-at-thales-4387860464,2026-04-10,2026-04-24,jsearch
Data Analyste/Data Quality,Société Générale,Puteaux,FR,,,EUR,False,Stage,"Vos missions au quotidien

Vous savez “ faire parler “ les données pour créer de la valeur ? Vous souhaitez travailler en mode agile ? Rejoignez-nous !

En tant que stagiaire chargé de développement big data et data visualisation, vous intégrez l’équipe DFIN/EMR/DQP (Direction FINancière, Expertise on Metric and Reports, Data Quality Platform) en charge de la chaîne de production des métriques de liquidité (ratios LCR et NSFR, CML, pilotage interne et reporting règlementaire). Au sein de ces équ",https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/data-analyste-data-quality_la-defense,2026-04-04,2026-04-24,jsearch
Data Analyst (H/F),France Travail,Paris,FR,,,EUR,False,À plein temps,"Qui sommes-nous ? Artefact est une société française de conseil et d'ingénierie spécialisée dans les données et l'IA, et un leader européen dans ce domaine. Basés à Paris, nous sommes aujourd'hui présents dans 23 pays sur tous les continents, avec une équipe de 1 700 collaborateurs. Notre mission est d'aider les entreprises à exploiter pleinement le potentiel de l'IA et des données en développant des solutions sur mesure qui répondent aux défis spécifiques de leur secteur. En tant que pionniers ",https://candidat.francetravail.fr/offres/recherche/detail/206ZCBQ,2026-04-15,2026-04-24,jsearch
Offre n° 1708046 Alternance Data analyst - Roissy-en-France (H/F),France Travail,Roissy-en-France,FR,,,EUR,False,,"Description : L'ISCOD, spécialiste de la formation en Digital Learning, recherche pour un fournisseur d'équipement de manutention à Roissy-en-France, un(e) Data analyst H/F en contrat d'apprentissage, pour préparer l'une de nos formations diplômantes reconnues par l'Etat de niveau 5 à niveau 7 (Bac+2, Bachelor/Bac+3 ou Mastère/Bac+5). Choisissez l'alternance nouvelle génération avec l'ISCOD !

Missions : Création et mise à jour des fiches articles et fournisseurs dans l'ERP (SAGE)Nettoyage et fi",https://bebee.com/fr/jobs/offre-n-1708046-alternance-data-analyst-roissy-en-france-france-travail-roissy-en-france--techmap_fr_1708046,2026-04-21,2026-04-24,jsearch
Applied Ai Forward Deployed Machine Learning Engineer Critical And Sovereign Institutions EMEA H/F,Mistral AI,Paris,FR,,,EUR,False,À plein temps,"Détail du poste

About Mistral

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life, democratizing AI through high-performance, open-source models, products, and solutions. Our comprehensive AI platform meets enterprise needs, whether on-premises or in the cloud, and includes tools like Le Chat, La Plateforme, and Mistral Compute.

We are a dynamic, collaborative",https://www.hellowork.com/fr-fr/emplois/78347210.html,2026-04-23,2026-04-24,jsearch
Data Engineer / Machine Learning Engineer (F/H) - 33,informatis-ts,Bordeaux,FR,,,EUR,False,À plein temps,"Dans le cadre d’un important projet avec un client final leader dans son domaine, nous recherchons des profils Data Engineer / Machine Learning Engineer

Localisation : France (Bordeaux / Paris / Remote hybride)

Type de contrat : CDI / Freelance / Pré-embauche

Expérience : 3 ans minimum

Contexte

Projets à forte volumétrie de données, nous recherchons plusieurs profils Data Engineer / Machine Learning Engineer pour intervenir sur des environnements techniques exigeants, orientés performance e",https://fr.indeed.com/viewjob?jk=3f0e21d44c19c8ab,2026-04-23,2026-04-24,jsearch
Senior Machine Learning Engineer - AI Initiatives (W/M/NB) - Parisot,Ubisoft,Parisot,FR,,,EUR,False,À plein temps,"Join the Ubisoft AI Initiatives team and architect the future of the information lifecycle at Ubisoft. From advanced hybrid search and RAG pipelines to complex, agentic reasoning, we are engineering the tools that turn raw information into high-velocity decision-making. If you want to push the boundaries of how humans and AI collaborate to solve complex problems, this is your arena. We are seeking a highly skilled Machine Learning Engineer to design, build, evaluate, and optimize AI models and i",https://www.directemploi.com/candidatOffre/54171432,2026-04-23,2026-04-24,jsearch
Senior Data Scientist / ML Engineer,Hellowork Group,Rennes,FR,,,EUR,False,À plein temps,"Description du poste et Missions

Chez Hellowork Group, on développe des solutions digitales au service de l’emploi et de la formation, utilisées chaque jour par des millions de personnes et d’entreprises.

Derrière ces produits, il y a beaucoup de data, du machine learning en production, et une place de plus en plus importante pour l’IA générative et les LLM, avec un objectif simple : créer des usages concrets et utiles.

Dans ce contexte, on recrute un·e Senior Data Scientist / ML Engineer pou",https://carrieres.hellowork-group.com/offer/3169-MTA2MDUtTG1rb3Bw,2026-04-21,2026-04-24,jsearch
Lead ML / AI Engineer,Artefact,Paris,FR,,,EUR,False,À plein temps,"Offre d’emploi Lead ML / AI Engineer _ Artefact Côte d’Ivoire
Nous recherchons notre futur(e) Lead ML/AI Engineer pour rejoindre l’équipe d’Abidjan et contribuer à des projets data concrets, à forte valeur ajoutée, pour des clients locaux et internationaux.
Qui sommes-nous ?
Artefact est un cabinet de conseil nouvelle génération, entièrement dédié à la data et à la transformation AI. Avec plus de 2000 talents présents dans 24 pays, nous aidons les organisations à activer pleinement la puissance ",https://www.welcometothejungle.com/fr/companies/artefact/jobs/lead-ml-ai-engineer_paris,2026-04-22,2026-04-24,jsearch
Machine Learning Engineer - MLOps (H/F) - Lille - Freelance,Collective.work,Lille,FR,,,EUR,False,À plein temps et Prestataire,"Description du poste
Taux journalier (TJM): 400 - 450
Missions

Le/La Machine Learning Engineer aura pour mission de :

•
Déployer, maintenir et faire évoluer des applications de machine learning en production

•
Collecter, nettoyer, structurer et orchestrer les pipelines de données nécessaires aux applications ML

•
Concevoir et mettre en place les outils de CI/CD pour automatiser les déploiements et la mise en production

•
Développer les composants de monitoring, d’observabilité et de supervi",https://fr.indeed.com/viewjob?jk=f0eb8c987932e52c,2026-04-13,2026-04-24,jsearch
Stage Machine Learning & Modélisation Data - Stage M1 (3 à 4 mois),Nalo,Paris,FR,,,EUR,False,Stage,"La data chez Nalo
La donnée joue un rôle important dans l’entreprise. Elle permet d’éclairer les décisions stratégiques, de piloter le produit, d’analyser les comportements clients et de soutenir les équipes d’investissement dans leur métier via la mise à disposition d’informations pertinentes.
Ainsi, la fonction data est transverse et collabore étroitement avec les équipes Produit, Marketing, Investissement et Tech. Elle couvre à la fois la structuration du data warehouse, la fiabilisation des ",https://www.welcometothejungle.com/fr/companies/nalo/jobs/stage-machine-learning-modelisation-data-stage-m1-3-a-4-mois_paris,2026-04-21,2026-04-24,jsearch
Stage Ingénieur R&D en apprentissage automatique / IA (h/f) - 6 mois,VEDECOM,Versailles,FR,,,EUR,False,À plein temps,"Description

L’Institut pour la Transition Energétique (ITE) VEDECOM est un institut français de recherche et de formation dédié aux mobilités innovantes et durables, à travers trois axes de R&D multidisciplinaire : l’électrification, le véhicule automatisé et connecté, les facteurs humains et économie des mobilités durables.

Intégré dans le programme d'innovation ""France 2030"", l’Institut contribue également activement à de nombreux projets de recherche européens.

Constitué de chercheurs, d'i",https://fr.linkedin.com/jobs/view/stage-ing%C3%A9nieur-r-d-en-apprentissage-automatique-ia-h-f-6-mois-at-vedecom-4405037295,2026-04-23,2026-04-24,jsearch
Ml Engineer - Nlp Production et MLOps H/F,FAB Group,Pau,FR,,,EUR,False,À plein temps,"Les missions du poste
Le contexte

Nous accompagnons une startup technologique en forte croissance dans la recherche de son futur(e) ML Engineer - NLP (Production & MLOps) H/F.

Dans le cadre du renforcement de son pôle IA, notre cabinet FAB Group intervient sur les premières étapes du processus de recrutement ainsi que sur le suivi de votre intégration au sein de notre client, qui sera votre futur employeur.

Ce poste en CDI, basé à Pau, s'inscrit dans un contexte d'accélération produit avec un",https://www.hellowork.com/fr-fr/emplois/78275475.html,2026-04-22,2026-04-24,jsearch
